1	Nptxr
2	Agt
3	Ttr
4	Pmch
5	Camk2n1
6	Olfm1
7	Pcp4
8	Prkcd
9	Cck
10	Nnat
11	Plp1
12	6330403K07Rik
13	Ctxn1
14	Atp1a1
15	Nrgn
16	Calb2
17	Hpca
18	Fth1
19	Atp1a2
20	Sparc
